Instance;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_TABU_SEARCH;ALL_UNPERFORMED_and_GREEDY_DESCENT;BEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH
CVRP_3;39821.52380952381;39821.52380952381;41773.75;41469.65;39537.19047619047
CVRP_5;48485.15;48256.7;48073.45;48150.15;47979.2
CVRP_2;42168.6;42243.8;42168.6;42173.7;42010.95
CVRP_100;15602.897435897436;15602.897435897436;15602.897435897436;17200.2;15649.71794871795
CVRP_4;73843.63157894737;72498.57894736843;48141.8;48049.75;72305.26315789473
CVRP_1;44261.56756756757;44334.0;41456.3;41555.25;44021.24324324324
att48;30183.125;30295.375;1295060.0;1295060.0;30183.125
pr76;97227.0;97477.0;1399960.0;1399960.0;97093.66666666667
pr107;41712.5;41900.0;1449800.0;1449800.0;41700.0
st70;600.0;602.0;563650.0;563650.0;600.0
ulysses22;57.0;57.0;69190.0;69190.0;57.0
rd100;7200.875;7165.75;1764080.0;1764080.0;7208.625
d493;32240.0;32547.75;4033920.0;4033920.0;31979.375
dsj1000;17462933.125;17933193.777777776;274266680.0;274266680.0;17452910.444444444
u724;39144.0;39945.625;4664020.0;4664020.0;39325.375
ch150;5839.0;5976.375;2035540.0;2035540.0;5766.5
d657;44684.25;45881.25;4572910.0;4572910.0;44391.25
pr124;55962.625;58091.0;1711040.0;1711040.0;55172.0
C1_4_1;336711.025;320807.625;500150.8;19753558.0;334481.925
C1_2_7;133362.86486486485;128699.78378378379;2053711.1;130922.3;131740.86486486485
C1_4_10;324746.02702702704;320056.4324324324;328553.95;2267192.1;322172.8108108108
C1_4_2;341170.08108108107;345597.3783783784;384180.25;2270617.8;329407.4054054054
C1_4_9;328549.2972972973;321919.64864864864;353055.15;2250660.35;336054.2702702703
C1_2_5;130668.45;118333.5;9751366.0;128011.5;126581.325
C1_2_4;125315.75;116152.85;9751321.5;121715.8;123982.3
C1_2_8;122880.8;118454.875;9751396.5;134098.0;125631.35
C1_4_5;324890.0;323241.64864864864;352621.4;2271115.35;333946.6216216216
C1_6_1;776849.3076923077;705367.475;29757184.15;913056.6;803112.875
C1_2_3;135861.27777777778;139093.44444444444;1092767.2;135215.5;135374.30555555556
C1_6_3;731729.875;638287.4;29757541.35;778800.6;727238.275
C1_2_10;135232.83333333334;136115.44444444444;1097619.85;134752.4;131318.88888888888
C1_2_9;137772.05714285714;137857.7142857143;1104027.3;141399.65;134343.34285714285
C1_2_6;123881.33333333333;125934.97435897436;9751206.0;138450.0;125447.61538461539
C1_4_6;340139.8823529412;325020.32352941175;348123.8;2271947.7;336035.0588235294
C1_4_4;301230.94736842107;279162.0263157895;508824.4;19753656.45;297580.63157894736
C1_2_2;130958.14705882352;129955.67647058824;1094310.75;141432.95;130422.11764705883
C1_6_5;404318.125;394509.625;14854.6;14717.8;404531.8333333333
C1_2_1;116417.63157894737;111662.34210526316;9751516.0;121995.0;117236.73684210527
C1_4_3;335144.70588235295;326513.64705882355;361758.7;2275105.15;339320.5882352941
C1_6_2;749049.4736842106;643630.9210526316;29757673.8;839823.6;750490.8157894737
C1_4_7;327905.0882352941;318303.8823529412;330743.9;2287519.2;330859.76470588235
C1_6_4;403955.4166666667;394143.0833333333;14006.4;13832.2;403805.375
C1_4_8;336870.51515151514;345034.9393939394;352467.6;2285867.05;344161.75757575757
ulysses16;59.0;59.0;59.0;68580.0;59.0
HFVRP_4;43092.0;46127.0;976710.0;976710.0;42940.444444444445
HFVRP_p14;179930.61111111112;177792.16666666666;3245220.0;3245220.0;173656.5
CVRP_p5;39236.0;40167.0;760500.0;760500.0;39390.88888888889
CVRP_p3;45760.35294117647;46117.882352941175;863010.0;863010.0;46761.41176470588
HFVRP_1;33969.27777777778;34167.166666666664;705250.0;705250.0;33878.22222222222
CVRP_p14;172109.0;194608.5;3917600.0;3917600.0;175260.22222222222
HFVRP_p3;42884.11111111111;42666.22222222222;852510.0;852510.0;42988.0
HFVRP_p5;41653.38888888889;42765.5;858580.0;858580.0;41734.22222222222
p3;41818.282051282054;43935.53846153846;44051.92307692308;44391.692307692305;42006.743589743586
p1;34391.02564102564;34312.48717948718;31950.79487179487;31856.76923076923;32960.692307692305
p31;31401.5641025641;31401.5641025641;31401.5641025641;30902.51282051282;30903.4358974359
p2;34305.743589743586;34276.35897435898;31911.384615384617;31887.76923076923;32893.35897435898
p6;37792.5;37817.5;37817.5;35864.05263157895;38254.0
p19;87123.55;82861.75;83175.35;82891.75;82528.65
p5;33461.5;33461.5;33461.5;33459.5;34529.5
p15;51759.0;51759.0;51759.0;48906.0;45834.0
p20;94810.0;94810.0;94810.0;94810.0;94810.0
p4;20480.0;20480.0;20480.0;20480.0;20480.0
p16;68560.0;68560.0;68560.0;68560.0;68560.0
p18;113030.0;113030.0;113030.0;113030.0;113030.0
p17;79700.0;79700.0;79700.0;79700.0;79700.0
p12;106350.0;106350.0;106350.0;106350.0;106350.0
p11;37830.0;37830.0;37830.0;37830.0;37830.0
p13;167400.0;167400.0;167400.0;167400.0;167400.0
