Instance;Objective;Heuristic;Metaheuristic
p31.txt;28340;10;1
p31.txt;28340;2;5
p31.txt;28340;4;1
p31.txt;28340;5;4
p31.txt;28340;6;1
p31.txt;28340;10;6
p31.txt;28340;4;3
p31.txt;28340;11;3
p31.txt;28340;11;4
p31.txt;28340;7;1
p31.txt;28340;4;5
p31.txt;28340;6;4
p31.txt;28340;9;1
p31.txt;28340;13;4
p31.txt;28340;16;5
p31.txt;28340;3;1
p31.txt;28340;15;1
p31.txt;28340;3;3
p31.txt;28340;9;6
p31.txt;28340;12;3
p31.txt;28340;3;4
p31.txt;28340;16;1
p31.txt;28340;2;4
p31.txt;28340;5;1
p31.txt;28340;14;2
p31.txt;28340;1;3
p31.txt;28340;7;6
p31.txt;28340;13;6
p31.txt;28340;1;2
p31.txt;28340;7;3
p31.txt;28340;15;5
p31.txt;28340;8;6
p31.txt;28340;9;4
p31.txt;28340;16;3
p31.txt;28340;8;5
p31.txt;28340;7;5
p31.txt;28340;10;5
p31.txt;28340;12;4
p31.txt;28340;8;4
p31.txt;28340;1;6
p31.txt;28340;16;6
p31.txt;28340;6;2
p31.txt;28340;15;3
p31.txt;28340;14;3
p31.txt;28340;13;1
p31.txt;28340;4;2
p31.txt;28340;2;6
p31.txt;28340;6;5
p31.txt;28340;16;2
p31.txt;28340;1;5
p31.txt;28340;5;6
p31.txt;28340;12;6
p31.txt;28340;11;2
p31.txt;28340;16;4
p31.txt;28340;8;2
p31.txt;28340;5;5
p31.txt;28340;1;4
p31.txt;28340;11;6
p31.txt;28340;7;2
p31.txt;28340;13;5
p31.txt;28340;14;4
p31.txt;28340;14;1
p31.txt;28340;4;6
p31.txt;28340;13;3
p31.txt;28340;9;2
p31.txt;28340;14;6
p31.txt;28340;9;5
p31.txt;28340;3;2
p31.txt;28340;11;5
p31.txt;28340;5;3
p31.txt;28340;5;2
p31.txt;28340;8;1
p31.txt;28340;10;4
p31.txt;28340;14;5
p31.txt;28340;3;5
p31.txt;28340;11;1
p31.txt;28340;12;2
p31.txt;28340;15;4
p31.txt;28340;10;3
p31.txt;28340;13;2
p31.txt;28340;8;3
p31.txt;28340;4;4
p31.txt;28340;9;3
p31.txt;28340;6;6
p31.txt;28340;7;4
p31.txt;28340;12;1
p31.txt;28340;15;6
p31.txt;28340;2;1
p31.txt;28340;6;3
p31.txt;28340;15;2
p31.txt;28340;1;1
p31.txt;28340;2;3
p31.txt;28340;3;6
p31.txt;28340;2;2
p31.txt;28340;12;5
p31.txt;28340;10;2
p3.txt;12794;5;5
p9.txt;95116;13;6
p17.txt;79897;4;2
p6.txt;17362;11;6
p19.txt;56014;7;6
p13.txt;141831;6;4
p13.txt;141831;13;4
p13.txt;141831;15;5
p13.txt;141831;1;1
p15.txt;25684;1;2
p15.txt;25684;6;2
p15.txt;25684;11;2
p15.txt;25684;8;2
p15.txt;25684;9;2
p15.txt;25684;3;2
p15.txt;25684;5;2
p15.txt;25684;12;2
p11.txt;62626;4;1
p11.txt;62626;11;4
p11.txt;62626;3;1
p11.txt;62626;15;1
p11.txt;62626;14;2
p11.txt;62626;2;6
p11.txt;62626;1;5
p11.txt;62626;16;4
p11.txt;62626;13;5
p11.txt;62626;5;2
p11.txt;62626;8;1
p11.txt;62626;10;3
p11.txt;62626;9;3
p11.txt;62626;6;6
p4.txt;34782;12;2
p2.txt;12359;5;4
p2.txt;12359;10;6
p2.txt;12359;11;4
p2.txt;12359;6;4
p2.txt;12359;3;4
p2.txt;12359;14;2
p2.txt;12359;7;6
p2.txt;12359;13;6
p2.txt;12359;9;4
p2.txt;12359;12;4
p2.txt;12359;8;4
p2.txt;12359;16;6
p2.txt;12359;4;2
p2.txt;12359;2;6
p2.txt;12359;16;2
p2.txt;12359;1;4
p2.txt;12359;7;2
p2.txt;12359;4;6
p2.txt;12359;14;6
p2.txt;12359;13;2
p2.txt;12359;15;6
p2.txt;12359;15;2
p2.txt;12359;2;2
p2.txt;12359;10;2
p16.txt;52089;2;2
p1.txt;12359;5;4
p1.txt;12359;10;6
p1.txt;12359;11;4
p1.txt;12359;6;4
p1.txt;12359;3;4
p1.txt;12359;14;2
p1.txt;12359;7;6
p1.txt;12359;13;6
p1.txt;12359;9;4
p1.txt;12359;12;4
p1.txt;12359;8;4
p1.txt;12359;16;6
p1.txt;12359;4;2
p1.txt;12359;2;6
p1.txt;12359;16;2
p1.txt;12359;1;4
p1.txt;12359;7;2
p1.txt;12359;4;6
p1.txt;12359;14;6
p1.txt;12359;13;2
p1.txt;12359;15;6
p1.txt;12359;15;2
p1.txt;12359;2;2
p1.txt;12359;10;2
p18.txt;103178;8;4
p12.txt;67355;2;1
p20.txt;76049;14;4
p8.txt;122019;3;1
p8.txt;122019;16;1
p8.txt;122019;15;4
p14.txt;97849;11;6
p5.txt;33556;8;4
