Instance;Objective;Heuristic;Metaheuristic
att48.txt;33503;14;2
att48.txt;33503;4;2
att48.txt;33503;16;2
att48.txt;33503;9;2
att48.txt;33503;3;2
att48.txt;33503;12;2
att48.txt;33503;13;2
att48.txt;33503;15;2
att48.txt;33503;2;2
att48.txt;33503;10;2
d657.txt;50759;3;1
dsj1000.txt;20587991;1;5
ulysses16.txt;64;14;2
ulysses16.txt;64;1;2
ulysses16.txt;64;6;2
ulysses16.txt;64;4;2
ulysses16.txt;64;16;2
ulysses16.txt;64;8;2
ulysses16.txt;64;7;2
ulysses16.txt;64;9;2
ulysses16.txt;64;3;2
ulysses16.txt;64;12;2
ulysses16.txt;64;13;2
ulysses16.txt;64;15;2
ulysses16.txt;64;2;2
ulysses16.txt;64;10;2
pr124.txt;59227;10;1
pr124.txt;59227;2;5
pr124.txt;59227;4;1
pr124.txt;59227;5;4
pr124.txt;59227;6;1
pr124.txt;59227;10;6
pr124.txt;59227;4;3
pr124.txt;59227;11;3
pr124.txt;59227;11;4
pr124.txt;59227;7;1
pr124.txt;59227;4;5
pr124.txt;59227;6;4
pr124.txt;59227;9;1
pr124.txt;59227;13;4
pr124.txt;59227;16;5
pr124.txt;59227;15;1
pr124.txt;59227;3;3
pr124.txt;59227;9;6
pr124.txt;59227;12;3
pr124.txt;59227;3;4
pr124.txt;59227;16;1
pr124.txt;59227;2;4
pr124.txt;59227;5;1
pr124.txt;59227;1;3
pr124.txt;59227;7;6
pr124.txt;59227;13;6
pr124.txt;59227;7;3
pr124.txt;59227;15;5
pr124.txt;59227;8;6
pr124.txt;59227;9;4
pr124.txt;59227;16;3
pr124.txt;59227;8;5
pr124.txt;59227;7;5
pr124.txt;59227;10;5
pr124.txt;59227;12;4
pr124.txt;59227;8;4
pr124.txt;59227;1;6
pr124.txt;59227;16;6
pr124.txt;59227;15;3
pr124.txt;59227;14;3
pr124.txt;59227;13;1
pr124.txt;59227;2;6
pr124.txt;59227;6;5
pr124.txt;59227;1;5
pr124.txt;59227;5;6
pr124.txt;59227;12;6
pr124.txt;59227;16;4
pr124.txt;59227;5;5
pr124.txt;59227;1;4
pr124.txt;59227;11;6
pr124.txt;59227;13;5
pr124.txt;59227;14;4
pr124.txt;59227;14;1
pr124.txt;59227;4;6
pr124.txt;59227;13;3
pr124.txt;59227;14;6
pr124.txt;59227;9;5
pr124.txt;59227;11;5
pr124.txt;59227;5;3
pr124.txt;59227;8;1
pr124.txt;59227;10;4
pr124.txt;59227;14;5
pr124.txt;59227;3;5
pr124.txt;59227;11;1
pr124.txt;59227;15;4
pr124.txt;59227;10;3
pr124.txt;59227;8;3
pr124.txt;59227;4;4
pr124.txt;59227;9;3
pr124.txt;59227;6;6
pr124.txt;59227;7;4
pr124.txt;59227;12;1
pr124.txt;59227;15;6
pr124.txt;59227;2;1
pr124.txt;59227;6;3
pr124.txt;59227;1;1
pr124.txt;59227;2;3
pr124.txt;59227;3;6
pr124.txt;59227;12;5
rd100.txt;7864;10;2
pr107.txt;44324;14;2
pr107.txt;44324;8;2
pr107.txt;44324;2;2
u724.txt;43039;13;2
ch150.txt;6549;4;2
ulysses22.txt;64;14;2
ulysses22.txt;64;1;2
ulysses22.txt;64;4;2
ulysses22.txt;64;16;2
ulysses22.txt;64;8;2
ulysses22.txt;64;9;2
ulysses22.txt;64;3;2
ulysses22.txt;64;12;2
ulysses22.txt;64;13;2
ulysses22.txt;64;15;2
ulysses22.txt;64;2;2
ulysses22.txt;64;10;2
pr76.txt;108137;1;2
pr76.txt;108137;16;2
pr76.txt;108137;9;2
pr76.txt;108137;2;2
d493.txt;35978;4;2
st70.txt;652;3;2
st70.txt;652;12;2
st70.txt;652;15;2
