Instance;Objective;Heuristic;Metaheuristic
p31.txt;37820;10;1
p31.txt;37820;2;5
p31.txt;37820;4;1
p31.txt;37820;5;4
p31.txt;37820;6;1
p31.txt;37820;10;6
p31.txt;37820;4;3
p31.txt;37820;11;3
p31.txt;37820;11;4
p31.txt;37820;7;1
p31.txt;37820;4;5
p31.txt;37820;6;4
p31.txt;37820;9;1
p31.txt;37820;13;4
p31.txt;37820;16;5
p31.txt;37820;3;1
p31.txt;37820;15;1
p31.txt;37820;3;3
p31.txt;37820;9;6
p31.txt;37820;12;3
p31.txt;37820;3;4
p31.txt;37820;16;1
p31.txt;37820;2;4
p31.txt;37820;5;1
p31.txt;37820;14;2
p31.txt;37820;1;3
p31.txt;37820;7;6
p31.txt;37820;13;6
p31.txt;37820;1;2
p31.txt;37820;7;3
p31.txt;37820;15;5
p31.txt;37820;8;6
p31.txt;37820;9;4
p31.txt;37820;16;3
p31.txt;37820;8;5
p31.txt;37820;7;5
p31.txt;37820;10;5
p31.txt;37820;12;4
p31.txt;37820;8;4
p31.txt;37820;1;6
p31.txt;37820;16;6
p31.txt;37820;6;2
p31.txt;37820;15;3
p31.txt;37820;14;3
p31.txt;37820;13;1
p31.txt;37820;4;2
p31.txt;37820;2;6
p31.txt;37820;6;5
p31.txt;37820;16;2
p31.txt;37820;1;5
p31.txt;37820;5;6
p31.txt;37820;12;6
p31.txt;37820;11;2
p31.txt;37820;16;4
p31.txt;37820;8;2
p31.txt;37820;5;5
p31.txt;37820;1;4
p31.txt;37820;11;6
p31.txt;37820;7;2
p31.txt;37820;13;5
p31.txt;37820;14;4
p31.txt;37820;14;1
p31.txt;37820;4;6
p31.txt;37820;13;3
p31.txt;37820;9;2
p31.txt;37820;14;6
p31.txt;37820;9;5
p31.txt;37820;3;2
p31.txt;37820;11;5
p31.txt;37820;5;3
p31.txt;37820;5;2
p31.txt;37820;8;1
p31.txt;37820;10;4
p31.txt;37820;14;5
p31.txt;37820;3;5
p31.txt;37820;11;1
p31.txt;37820;12;2
p31.txt;37820;15;4
p31.txt;37820;10;3
p31.txt;37820;13;2
p31.txt;37820;8;3
p31.txt;37820;4;4
p31.txt;37820;9;3
p31.txt;37820;6;6
p31.txt;37820;7;4
p31.txt;37820;12;1
p31.txt;37820;15;6
p31.txt;37820;2;1
p31.txt;37820;6;3
p31.txt;37820;15;2
p31.txt;37820;1;1
p31.txt;37820;2;3
p31.txt;37820;3;6
p31.txt;37820;2;2
p31.txt;37820;12;5
p31.txt;37820;10;2
CVRP_2.txt;73629;10;1
CVRP_2.txt;73629;2;5
CVRP_2.txt;73629;6;1
CVRP_2.txt;73629;11;3
CVRP_2.txt;73629;7;1
CVRP_2.txt;73629;16;5
CVRP_2.txt;73629;12;3
CVRP_2.txt;73629;16;1
CVRP_2.txt;73629;2;4
CVRP_2.txt;73629;13;6
CVRP_2.txt;73629;8;6
CVRP_2.txt;73629;10;5
CVRP_2.txt;73629;12;4
CVRP_2.txt;73629;1;6
CVRP_2.txt;73629;6;2
CVRP_2.txt;73629;15;3
CVRP_2.txt;73629;14;3
CVRP_2.txt;73629;13;1
CVRP_2.txt;73629;2;6
CVRP_2.txt;73629;6;5
CVRP_2.txt;73629;16;2
CVRP_2.txt;73629;1;5
CVRP_2.txt;73629;12;6
CVRP_2.txt;73629;11;2
CVRP_2.txt;73629;16;4
CVRP_2.txt;73629;8;2
CVRP_2.txt;73629;1;4
CVRP_2.txt;73629;11;6
CVRP_2.txt;73629;7;2
CVRP_2.txt;73629;13;5
CVRP_2.txt;73629;14;4
CVRP_2.txt;73629;9;2
CVRP_2.txt;73629;9;5
CVRP_2.txt;73629;11;5
CVRP_2.txt;73629;10;4
CVRP_2.txt;73629;12;2
CVRP_2.txt;73629;10;3
CVRP_2.txt;73629;13;2
CVRP_2.txt;73629;6;6
