Instance;Objective;Heuristic;Metaheuristic;Time;Routes
CVRP_3.txt;463;LOCAL_CHEAPEST_INSERTION_;_TABU_SEARCH;0.0;2
p3.txt;689;LOCAL_CHEAPEST_INSERTION_;_TABU_SEARCH;0.0;2
p6.txt;815;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.0;2
CVRP_4.txt;662;SAVINGS_;_SIMULATED_ANNEALING;0.0;2
p2.txt;495;LOCAL_CHEAPEST_INSERTION_;_TABU_SEARCH;0.0;2
p4.txt;713;LOCAL_CHEAPEST_COST_INSERTION_;_TABU_SEARCH;0.0;2
p15.txt;1103;PATH_CHEAPEST_ARC_;_GREEDY_DESCENT;0.0;4
CVRP_2.txt;463;LOCAL_CHEAPEST_INSERTION_;_TABU_SEARCH;0.0;2
CVRP_100.txt;247;PATH_CHEAPEST_ARC_;_GREEDY_DESCENT;0.016022682189941406;1
p5.txt;719;LOCAL_CHEAPEST_COST_INSERTION_;_TABU_SEARCH;0.0;2
CVRP_5.txt;662;SAVINGS_;_SIMULATED_ANNEALING;0.0;2
p1.txt;495;LOCAL_CHEAPEST_INSERTION_;_TABU_SEARCH;0.0;2
p31.txt;542;PATH_CHEAPEST_ARC_;_GREEDY_DESCENT;0.019456863403320312;2
CVRP_1.txt;463;LOCAL_CHEAPEST_INSERTION_;_TABU_SEARCH;0.0;2
p19.txt;1803;SAVINGS_;_SIMULATED_ANNEALING;0.0;4
p20.txt;2576;SAVINGS_;_SIMULATED_ANNEALING;0.0;6
