Instance;Objective;Heuristic;Metaheuristic;Time;Routes
att48.txt;34405;SWEEP_;_TABU_SEARCH;0.07170891761779785;0
pr76.txt;110653;SWEEP_;_TABU_SEARCH;0.34509730339050293;0
pr107.txt;46677;SWEEP_;_TABU_SEARCH;0.6395208835601807;0
st70.txt;687;SWEEP_;_TABU_SEARCH;0.13010239601135254;0
ulysses22.txt;72;SWEEP_;_TABU_SEARCH;0.0059490203857421875;0
rd100.txt;8479;SWEEP_;_TABU_SEARCH;0.4537820816040039;0
pr124.txt;59246;SWEEP_;_TABU_SEARCH;0.3447391986846924;0
d493.txt;37959;SWEEP_;_TABU_SEARCH;15.0009765625;0
ulysses16.txt;72;SWEEP_;_TABU_SEARCH;0.003062009811401367;0
dsj1000.txt;20829861;SWEEP_;_TABU_SEARCH;15.002936840057373;0
u724.txt;47378;SWEEP_;_TABU_SEARCH;15.002257108688354;0
ch150.txt;6769;SWEEP_;_TABU_SEARCH;1.3725841045379639;0
d657.txt;55419;SWEEP_;_TABU_SEARCH;15.001689672470093;0
att48.txt;34405;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.07086634635925293;0
pr76.txt;110657;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.3738853931427002;0
pr107.txt;46677;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.6430752277374268;0
st70.txt;687;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.1248326301574707;0
ulysses22.txt;72;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.006281375885009766;0
rd100.txt;8479;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.4248173236846924;0
pr124.txt;59246;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.3231534957885742;0
d493.txt;39365;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;15.000764608383179;0
ulysses16.txt;72;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.003118753433227539;0
dsj1000.txt;21037371;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;15.00118350982666;0
u724.txt;47614;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;15.00195837020874;0
ch150.txt;6769;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;1.4435570240020752;0
d657.txt;56600;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;15.000788688659668;0
att48.txt;34405;CHRISTOFIDES_;_GREEDY_DESCENT;0.06495451927185059;0
pr76.txt;110288;CHRISTOFIDES_;_GREEDY_DESCENT;0.5848875045776367;0
pr107.txt;46677;CHRISTOFIDES_;_GREEDY_DESCENT;0.6325292587280273;0
st70.txt;687;CHRISTOFIDES_;_GREEDY_DESCENT;0.14288902282714844;0
ulysses22.txt;72;CHRISTOFIDES_;_GREEDY_DESCENT;0.0067882537841796875;0
rd100.txt;8479;CHRISTOFIDES_;_GREEDY_DESCENT;0.42787766456604004;0
pr124.txt;59246;CHRISTOFIDES_;_GREEDY_DESCENT;0.3044729232788086;0
d493.txt;36886;CHRISTOFIDES_;_GREEDY_DESCENT;15.00066614151001;0
ulysses16.txt;72;CHRISTOFIDES_;_GREEDY_DESCENT;0.0033533573150634766;0
