Instance;Objective;Heuristic;Metaheuristic;Time;Routes
CVRP_3.txt;652;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.0;3
p3.txt;836;CHRISTOFIDES_;_GREEDY_DESCENT;0.0;2
p6.txt;982;LOCAL_CHEAPEST_INSERTION_;_TABU_SEARCH;0.0;3
CVRP_4.txt;814;CHRISTOFIDES_;_GREEDY_DESCENT;0.0;2
p2.txt;706;LOCAL_CHEAPEST_COST_INSERTION_;_TABU_SEARCH;0.0;4
p15.txt;1342;SAVINGS_;_TABU_SEARCH;0.0;3
CVRP_2.txt;652;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.0;3
CVRP_5.txt;814;CHRISTOFIDES_;_GREEDY_DESCENT;0.0;2
p1.txt;706;LOCAL_CHEAPEST_COST_INSERTION_;_TABU_SEARCH;0.0;4
CVRP_1.txt;652;LOCAL_CHEAPEST_ARC_;_GENERIC_TABU_SEARCH;0.0;3
p19.txt;2368;SAVINGS_;_SIMULATED_ANNEALING;0.0;5
p4.txt;930;CHRISTOFIDES_;_GREEDY_DESCENT;0.0;2
CVRP_100.txt;306;PARALLEL_CHEAPEST_INSERTION_;_TABU_SEARCH;0.0;2
p5.txt;910;LOCAL_CHEAPEST_COST_INSERTION_;_TABU_SEARCH;0.0;2
