Instance;Objective;Heuristic;Metaheuristic
p19.txt;39989;16;5
p19.txt;39989;16;1
p19.txt;39989;16;3
p19.txt;39989;16;2
p19.txt;39989;16;4
p2.txt;16518;16;5
p2.txt;16518;16;1
p2.txt;16518;16;3
p2.txt;16518;16;2
p2.txt;16518;16;4
CVRP_5.txt;11220;16;5
CVRP_5.txt;11220;16;1
CVRP_5.txt;11220;16;3
CVRP_5.txt;11220;16;2
CVRP_5.txt;11220;16;4
CVRP_2.txt;11627;16;2
CVRP_100.txt;11273;1;3
CVRP_100.txt;11273;1;2
CVRP_100.txt;11273;1;5
CVRP_100.txt;11273;1;4
CVRP_100.txt;11273;1;1
p31.txt;32025;1;4
CVRP_3.txt;11627;16;2
CVRP_1.txt;11627;16;2
p6.txt;21714;16;5
p6.txt;21714;16;1
p6.txt;21714;16;3
p6.txt;21714;16;2
p6.txt;21714;16;4
p3.txt;17086;16;5
p3.txt;17086;16;1
p3.txt;17086;16;3
p3.txt;17086;16;2
p3.txt;17086;16;4
p4.txt;37418;16;5
p4.txt;37418;16;1
p4.txt;37418;16;3
p4.txt;37418;16;2
p4.txt;37418;16;4
CVRP_4.txt;11220;16;5
CVRP_4.txt;11220;16;1
CVRP_4.txt;11220;16;3
CVRP_4.txt;11220;16;2
CVRP_4.txt;11220;16;4
p20.txt;52335;16;5
p20.txt;52335;16;1
p20.txt;52335;16;3
p20.txt;52335;16;2
p20.txt;52335;16;4
p1.txt;16518;16;5
p1.txt;16518;16;1
p1.txt;16518;16;3
p1.txt;16518;16;2
p1.txt;16518;16;4
p5.txt;37216;16;5
p5.txt;37216;16;1
p5.txt;37216;16;3
p5.txt;37216;16;2
p5.txt;37216;16;4
p15.txt;35313;16;5
p15.txt;35313;16;1
p15.txt;35313;16;3
p15.txt;35313;16;2
p15.txt;35313;16;4
